# Warranty & Liability
# To the extent permitted by applicable law and unless explicitly
# otherwise agreed upon, XLOG Technologies GmbH makes no warranties
# regarding the provided information. XLOG Technologies GmbH assumes
# no liability that any problems might be solved with the information
# provided by XLOG Technologies GmbH.
#
# Rights & License
# All industrial property rights regarding the information - copyright
# and patent rights in particular - are the sole property of XLOG
# Technologies GmbH. If the company was not the originator of some
# excerpts, XLOG Technologies GmbH has at least obtained the right to
# reproduce, change and translate the information.
#
# Reproduction is restricted to the whole unaltered document. Reproduction
# of the information is only allowed for non-commercial uses. Selling,
# giving away or letting of the execution of the library is prohibited.
# The library can be distributed as part of your applications and libraries
# for execution provided this comment remains unchanged.
#
# Restrictions
# Only to be distributed with programs that add significant and primary
# functionality to the library. Not to be distributed with additional
# software intended to replace any components of the library.
#
# Trademarks
# Jekejeke is a registered trademark of XLOG Technologies GmbH.
public
#/\ /2	finite/reify
#< /2	finite/linform
#<== /2	finite/reify
#<==> /2	finite/reify
#= /2	finite/linform
#=< /2	finite/linform
#==> /2	finite/reify
#> /2	finite/linform
#>= /2	finite/linform
(#\)/1	finite/reify
#\/ /2	finite/reify
#\= /2	finite/linform
','/3	minimal/hypo
;/3	minimal/hypo
<= /2	minimal/delta
<=> /2	minimal/chr
==: /2	minimal/chart
==> /2	minimal/chr
all_different/1	finite/linform
assumea/1	minimal/hypo
assumea/2	minimal/hypo
assumez/1	minimal/hypo
assumez/2	minimal/hypo
attr_unify_hook/2	finite/clpb
attribute_goals/3	finite/clpb
b_delete/1	term/state
b_setval/2	term/state
chart/3	minimal/chart
choose/1	minimal/asp
choose/2	minimal/asp
clearbit/3	misc/bits
count/2	finite/clpb
del_attr/2	term/unify
del_atts/2	term/verify
deposita_ref/1	minimal/assume
depositz_ref/1	minimal/assume
dif/2	term/herbrand
expr_vars/2	finite/tree
fail/1	minimal/hypo
(forward)/1	minimal/delta
freeze/2	term/suspend
get_attr/3	term/unify
get_atts/3	term/verify
user:goal_expansion/2	minimal/chart
user:goal_expansion/2	minimal/chr
simp:goal_simplification/2	minimal/delta
in/2	finite/intset
indomain/1	finite/enum
ins/2	finite/intset
iroot/3	misc/elem
isqrt/2	misc/elem
label/1	finite/enum
label_maximum/2	finite/enum
labeling/1	finite/clpb
min_choose/2	minimal/asp
min_choose/3	minimal/asp
modinv/3	misc/elem
modpow/4	misc/elem
nb_current/2	term/state
phaseout/1	minimal/delta
phaseout_posted/1	minimal/delta
portray_attributes/3	finite/tree
post/1	minimal/delta
post/2	minimal/delta
posted/1	minimal/delta
pseudo/4	finite/clpb
put_attr/3	term/unify
put_atts/3	term/verify
random_choose/1	minimal/asp
random_choose/2	minimal/asp
random_indomain/1	finite/enum
random_label/1	finite/enum
random_labeling/1	finite/clpb
random_min_choose/2	minimal/asp
random_min_choose/3	minimal/asp
random_min_choose2/3	minimal/asp
retire/1	minimal/hypo
retire/2	minimal/hypo
retireall/1	minimal/hypo
retireall/2	minimal/hypo
rootrem/4	misc/elem
sat/1	finite/clpb
setbit/3	misc/bits
sqrtrem/3	misc/elem
sto/1	term/herbrand
sys_assume_cont/1	experiment/cont
sys_bound_var/1	experiment/trail
sys_clause_hook/3	experiment/attr
sys_compile_hook/3	experiment/attr
residue:sys_current_eq/2	finite/clpfd
residue:sys_current_eq/2	finite/intset
residue:sys_current_eq/2	finite/linform
residue:sys_current_eq/2	finite/reify
residue:sys_current_eq/2	term/herbrand
residue:sys_current_eq/2	term/suspend
residue:sys_current_eq/2	term/unify
residue:sys_current_eq/2	term/verify
sys_ensure_serno/1	experiment/attr
sys_freeze_var/2	experiment/trail
sys_freezer/1	experiment/trail
sys_melt_var/2	experiment/trail
sys_ripple/1	experiment/cont
sys_serno_hooks/3	experiment/attr
sys_unbind/1	experiment/trail
residue:sys_unwrap_eq/3	finite/clpfd
residue:sys_unwrap_eq/3	finite/intset
residue:sys_unwrap_eq/3	finite/linform
residue:sys_unwrap_eq/3	finite/reify
residue:sys_unwrap_eq/3	term/herbrand
residue:sys_unwrap_eq/3	term/suspend
residue:sys_unwrap_eq/3	term/unify
residue:sys_unwrap_eq/3	term/verify
user:term_expansion/2	minimal/chart
user:term_expansion/2	minimal/chr
user:term_expansion/2	minimal/delta
simp:term_simplification/2	minimal/delta
testbit/2	misc/bits
true/1	minimal/hypo
ulp/2	misc/elem
verify_attributes/2	finite/tree
weighted_maximum/3	finite/clpb
when/2	term/suspend
withdrawa_ref/1	minimal/assume
withdrawz_ref/1	minimal/assume
words/3	minimal/chart
words/4	minimal/chart

