# Warranty & Liability
# To the extent permitted by applicable law and unless explicitly
# otherwise agreed upon, XLOG Technologies GmbH makes no warranties
# regarding the provided information. XLOG Technologies GmbH assumes
# no liability that any problems might be solved with the information
# provided by XLOG Technologies GmbH.
#
# Rights & License
# All industrial property rights regarding the information - copyright
# and patent rights in particular - are the sole property of XLOG
# Technologies GmbH. If the company was not the originator of some
# excerpts, XLOG Technologies GmbH has at least obtained the right to
# reproduce, change and translate the information.
#
# Reproduction is restricted to the whole unaltered document. Reproduction
# of the information is only allowed for non-commercial uses. Selling,
# giving away or letting of the execution of the library is prohibited.
# The library can be distributed as part of your applications and libraries
# for execution provided this comment remains unchanged.
#
# Restrictions
# Only to be distributed with programs that add significant and primary
# functionality to the library. Not to be distributed with additional
# software intended to replace any components of the library.
#
# Trademarks
# Jekejeke is a registered trademark of XLOG Technologies GmbH.
public
!/2	standard/dcg
*-> /4	standard/dcg
','/4	standard/dcg
--> /2	standard/dcg
-> /4	standard/dcg
'.'/4	standard/dcg
: /4	standard/apply
: /5	standard/apply
: /6	standard/apply
: /7	standard/apply
: /8	standard/apply
: /9	standard/apply
:: /4	standard/apply
:: /5	standard/apply
:: /6	standard/apply
:: /7	standard/apply
:: /8	standard/apply
:: /9	standard/apply
;/4	standard/dcg
[]/2	standard/dcg
(\)/3	advanced/abstract
(\)/4	advanced/abstract
(\)/5	advanced/abstract
(\)/6	advanced/abstract
(\)/7	advanced/abstract
(\)/8	advanced/abstract
(\)/9	advanced/abstract
(\+)/3	standard/dcg
^ /2	advanced/bags
^ /4	advanced/abstract
^ /5	advanced/abstract
^ /6	advanced/abstract
^ /7	advanced/abstract
^ /8	advanced/abstract
^ /9	advanced/abstract
above/2	standard/arith
acosh/2	basic/hyper
aggregate/3	advanced/aggregate
aggregate/4	advanced/aggregate
aggregate_all/3	advanced/aggregate
aggregate_all/4	advanced/aggregate
alarm_cancel/2	misc/time
alarm_new/1	misc/time
alarm_next/2	misc/time
alarm_schedule/4	misc/time
append/3	basic/lists
apropos/1	basic/utility
archive_file/3	system/file
arg/3	basic/proxy
asinh/2	basic/hyper
assertable_ref/2	experiment/ref
assumable_ref/2	experiment/ref
at_end_of_stream/0	stream/byte
at_end_of_stream/1	stream/byte
atanh/2	basic/hyper
bagof/3	advanced/bags
bagof/4	advanced/bags
base64_block/2	stream/xml
between/3	standard/arith
broker_start/1	experiment/broker
broker_stop/0	experiment/broker
call/2	standard/apply
call/3	standard/apply
call/4	standard/apply
call/5	standard/apply
call/6	standard/apply
call/7	standard/apply
call/8	standard/apply
call_cleanup/2	advanced/signal
call_nth/2	advanced/sequence
call_residue/2	misc/residue
call_residue_vars/2	misc/residue
canonical_path/2	system/file
canonical_uri/2	system/uri
char_class/2	misc/text
char_class/3	misc/text
char_digit/3	misc/text
clause_ref/2	experiment/ref
