# Warranty & Liability
# To the extent permitted by applicable law and unless explicitly
# otherwise agreed upon, XLOG Technologies GmbH makes no warranties
# regarding the provided information. XLOG Technologies GmbH assumes
# no liability that any problems might be solved with the information
# provided by XLOG Technologies GmbH.
#
# Rights & License
# All industrial property rights regarding the information - copyright
# and patent rights in particular - are the sole property of XLOG
# Technologies GmbH. If the company was not the originator of some
# excerpts, XLOG Technologies GmbH has at least obtained the right to
# reproduce, change and translate the information.
#
# Reproduction is restricted to the whole unaltered document. Reproduction
# of the information is only allowed for non-commercial uses. Selling,
# giving away or letting of the execution of the library is prohibited.
# The library can be distributed as part of your applications and libraries
# for execution provided this comment remains unchanged.
#
# Restrictions
# Only to be distributed with programs that add significant and primary
# functionality to the library. Not to be distributed with additional
# software intended to replace any components of the library.
#
# Trademarks
# Jekejeke is a registered trademark of XLOG Technologies GmbH.
public
!/0	builtin/control
','/2	builtin/body
(:-)/1	builtin/body
(:-)/2	builtin/body
(\+)/1	builtin/control
call/1	builtin/body
catch/3	builtin/control
fail/0	builtin/control
false/0	builtin/control
once/1	builtin/control
otherwise/0	builtin/control
reset_predicate_property/2	builtin/special
reset_source_property/2	builtin/special
set_oper_property/2	builtin/special
set_predicate_property/2	builtin/special
set_source_property/2	builtin/special
special/3	builtin/special
sys_alter/2	builtin/body
sys_begin/0	builtin/body
sys_callable_property_chk/3	builtin/special
sys_check_style_body/1	builtin/special
sys_commit/0	builtin/body
sys_declaration_indicator/2	builtin/special
sys_error_type/2	builtin/control
sys_guard/1	builtin/body
sys_neutral_oper/1	builtin/special
sys_neutral_predicate/1	builtin/special
sys_raise/1	builtin/control
sys_sequen/1	builtin/body
sys_soft_begin/0	builtin/body
sys_soft_commit/0	builtin/body
sys_trap/3	builtin/control
throw/1	builtin/control
throw/2	builtin/control
true/0	builtin/control
(virtual)/1	builtin/special

