# Warranty & Liability
# To the extent permitted by applicable law and unless explicitly
# otherwise agreed upon, XLOG Technologies GmbH makes no warranties
# regarding the provided information. XLOG Technologies GmbH assumes
# no liability that any problems might be solved with the information
# provided by XLOG Technologies GmbH.
#
# Rights & License
# All industrial property rights regarding the information - copyright
# and patent rights in particular - are the sole property of XLOG
# Technologies GmbH. If the company was not the originator of some
# excerpts, XLOG Technologies GmbH has at least obtained the right to
# reproduce, change and translate the information.
#
# Reproduction is restricted to the whole unaltered document. Reproduction
# of the information is only allowed for non-commercial uses. Selling,
# giving away or letting of the execution of the library is prohibited.
# The library can be distributed as part of your applications and libraries
# for execution provided this comment remains unchanged.
#
# Restrictions
# Only to be distributed with programs that add significant and primary
# functionality to the library. Not to be distributed with additional
# software intended to replace any components of the library.
#
# Trademarks
# Jekejeke is a registered trademark of XLOG Technologies GmbH.
public
# /3	arithmetic/ratio
* /3	arithmetic/elem
* /3	arithmetic/ratio
** /3	arithmetic/trigo
*-> /2	runtime/logic
(+)/2	arithmetic/elem
(+)/2	arithmetic/ratio
(+)/3	arithmetic/elem
(+)/3	arithmetic/ratio
(-)/2	arithmetic/elem
(-)/2	arithmetic/ratio
(-)/3	arithmetic/elem
(-)/3	arithmetic/ratio
-> /2	runtime/logic
'.'/2	bootload/load
/ /3	arithmetic/elem
/ /3	arithmetic/ratio
// /3	arithmetic/ratio
// /3	arithmetic/round
/\ /3	arithmetic/bits
: /2	runtime/logic
: /3	runtime/logic
:: /2	runtime/logic
:: /3	runtime/logic
;/2	runtime/logic
< /2	arithmetic/compare
< /2	arithmetic/ratio
<< /3	arithmetic/bits
=.. /2	runtime/quali
=.. /2	structure/univ
=:= /2	arithmetic/compare
=:= /2	arithmetic/ratio
=< /2	arithmetic/compare
=< /2	arithmetic/ratio
== /2	structure/lexical
=\= /2	arithmetic/compare
=\= /2	arithmetic/ratio
> /2	arithmetic/ratio
>= /2	arithmetic/compare
>= /2	arithmetic/ratio
>> /3	arithmetic/bits
@< /2	structure/lexical
@=< /2	structure/lexical
@> /2	structure/lexical
@>= /2	structure/lexical
[]/0	bootload/load
(\)/2	arithmetic/bits
\/ /3	arithmetic/bits
\= /2	structure/univ
\== /2	structure/lexical
^ /3	arithmetic/elem
^ /3	arithmetic/ratio
abolish/1	runtime/dynamic
abort/0	runtime/session
abs/2	arithmetic/elem
abs/2	arithmetic/ratio
absolute_file_name/2	bootload/path
absolute_file_name/3	bootload/path
acos/2	arithmetic/trigo
acyclic_term/1	structure/vars
arg/3	structure/univ
asin/2	arithmetic/trigo
asserta/1	runtime/dynamic
assertz/1	runtime/dynamic
atan/2	arithmetic/trigo
atan2/3	arithmetic/trigo
atom/1	structure/type
atom_block/2	structure/bytes
atom_block/3	structure/bytes
atom_chars/2	structure/atom
atom_codes/2	structure/atom
atom_concat/3	structure/atom
atom_integer/3	structure/atom
atom_length/2	structure/atom
atom_number/2	structure/atom
atom_split/3	structure/atom
atomic/1	structure/type
balance/1	runtime/distributed
balance/2	runtime/distributed
begin_module/1	bootload/engine
break/0	runtime/session
callable/1	runtime/quali
callable/1	structure/type
callable_property/2	reflect/call
ceiling/2	arithmetic/ratio
ceiling/2	arithmetic/round
char_code/2	structure/atom
clause/2	runtime/dynamic
close/0	runtime/session
compare/3	structure/lexical
compare/4	structure/lexical
compound/1	structure/type
consult/1	bootload/load
copy_term/2	structure/univ
cos/2	arithmetic/trigo
current_module/1	reflect/source
current_op/3	reflect/oper
current_oper/1	reflect/oper
current_predicate/1	reflect/pred
current_prolog_flag/2	bootload/engine
current_resource/1	reflect/source
current_source/1	reflect/source
decimal/1	structure/type
decimal/2	arithmetic/elem
decimal/2	arithmetic/ratio
denominator/2	arithmetic/ratio
(discontiguous)/1	bootload/load
div/3	arithmetic/ratio
div/3	arithmetic/round
divmod/4	arithmetic/ratio
divmod/4	arithmetic/round
(dynamic)/1	runtime/dynamic
e/1	arithmetic/trigo
end_all_modules/0	bootload/engine
end_module/0	bootload/engine
ensure_loaded/1	bootload/load
epsilon/1	arithmetic/trigo
epsilon32/1	arithmetic/trigo
exit/0	runtime/session
exp/2	arithmetic/trigo
findall/3	runtime/logic
findall/4	runtime/logic
float/1	structure/type
float/2	arithmetic/elem
float/2	arithmetic/ratio
float32/1	structure/type
float32/2	arithmetic/elem
float32/2	arithmetic/ratio
float64/1	structure/type
floor/2	arithmetic/ratio
floor/2	arithmetic/round
forall/2	runtime/logic
foreign/3	reflect/foreign
foreign_constructor/3	reflect/foreign
foreign_getter/3	reflect/foreign
foreign_setter/3	reflect/foreign
functor/3	runtime/quali
gcd/3	arithmetic/bits
gcd/3	arithmetic/ratio
(group_local)/1	runtime/dynamic
halt/0	bootload/engine
halt/1	bootload/engine
horde/1	runtime/distributed
horde/2	runtime/distributed
include/1	bootload/load
integer/1	structure/type
integer/2	arithmetic/ratio
integer/2	arithmetic/round
integer_chars/3	structure/atom
integer_codes/3	structure/atom
is/2	arithmetic/eval
last_atom_concat/3	structure/atom
last_sub_atom/4	structure/atom
last_sub_atom/5	structure/atom
lcm/3	arithmetic/bits
lcm/3	arithmetic/ratio
listing/0	bootload/load
listing/1	bootload/load
log/2	arithmetic/trigo
lsb/2	arithmetic/bits
make/0	bootload/load
max/3	arithmetic/compare
max/3	arithmetic/ratio
memory_get/2	structure/bytes
memory_get/3	structure/bytes
memory_read/2	structure/bytes
memory_write/1	structure/bytes
(meta_function)/1	runtime/meta
(meta_predicate)/1	runtime/meta
min/3	arithmetic/compare
min/3	arithmetic/ratio
mod/3	arithmetic/ratio
mod/3	arithmetic/round
module/2	bootload/module
msb/2	arithmetic/bits
(multifile)/1	bootload/load
nonground/2	structure/vars
number/1	structure/type
number_chars/2	structure/atom
number_codes/2	structure/atom
numbervars/3	structure/vars
numerator/2	arithmetic/ratio
op/3	reflect/oper
oper_property/2	reflect/oper
(override)/1	bootload/module
package/1	bootload/module
pi/1	arithmetic/trigo
popcount/2	arithmetic/bits
predicate_property/2	reflect/pred
(private)/1	bootload/module
prolog/0	runtime/session
(public)/1	bootload/module
rational/1	arithmetic/ratio
rational/3	arithmetic/ratio
rdiv/3	arithmetic/ratio
read_block/2	structure/bytes
read_block/3	structure/bytes
rebuild/0	bootload/load
reexport/1	bootload/module
reference/1	structure/type
rem/3	arithmetic/ratio
rem/3	arithmetic/round
repeat/0	runtime/logic
reset_callable_property/3	reflect/call
reset_oper_property/2	reflect/oper
retract/1	runtime/dynamic
retractall/1	runtime/dynamic
round/2	arithmetic/ratio
round/2	arithmetic/round
safe_term_variables/2	structure/vars
safe_term_variables/3	structure/vars
set_arg/4	structure/univ
